name,arrival,wait,service_start
Pax_1,0.5100301436374005,0.0,0.5100301436374005
Pax_2,0.5226945631587699,0.0,0.5226945631587699
Pax_3,0.6489876559938267,0.0,0.6489876559938267
Pax_4,1.2135741603931232,0.0,1.2135741603931232
Pax_5,1.2590503626964062,0.0,1.2590503626964062
Pax_6,1.2741754513000856,0.2932707813461011,1.5674462326461867
Pax_7,1.6261332152331622,0.0,1.6261332152331622
Pax_8,1.7369790498150024,0.16165280982373442,1.8986318596387368
Pax_9,2.130643676936203,0.059041727232670205,2.1896854041688734
Pax_10,2.5755480300870843,0.0,2.5755480300870843
Pax_11,2.578808014364218,0.3591902023971598,2.9379982167613776
Pax_12,3.1777029848509604,0.2553947955820921,3.4330977804330525
Pax_13,3.2621961188945954,0.19567095599000828,3.4578670748846037
Pax_14,4.837957443113748,0.0,4.837957443113748
Pax_15,4.888816785611564,0.0,4.888816785611564
Pax_16,5.351641519089571,0.0,5.351641519089571
Pax_17,6.005811734312704,0.0,6.005811734312704
Pax_18,7.8139193271577145,0.0,7.8139193271577145
Pax_19,8.215445699900958,0.0,8.215445699900958
Pax_20,8.697293802464381,0.0,8.697293802464381
Pax_21,9.127901773138804,0.0,9.127901773138804
Pax_22,9.151355543267249,0.2998449428055121,9.45120048607276
Pax_23,9.322169871857088,0.2621229073550211,9.58429277921211
Pax_24,9.363747633086584,0.6607479248030081,10.024495557889592
Pax_25,9.496245571282586,0.7252101964915845,10.22145576777417
Pax_26,9.659092361266733,0.6592763421900365,10.31836870345677
Pax_27,9.88602537622679,0.8023952428534358,10.688420619080226
Pax_28,10.117186751353012,0.7292746222772006,10.846461373630213
Pax_29,10.272476411923005,0.6505721888561133,10.923048600779119
Pax_30,10.794588729275944,0.27488789536419844,11.069476624640142
Pax_31,11.447640957632135,0.04495628081996905,11.492597238452104
Pax_32,11.958466247862255,0.0,11.958466247862255
Pax_33,12.535445642529947,0.0,12.535445642529947
Pax_34,13.283500058652116,0.0,13.283500058652116
Pax_35,13.299813436062186,0.37058332339389466,13.67039675945608
Pax_36,13.45562385260889,0.30162376049156236,13.757247613100452
Pax_37,13.574107459543214,0.65547303385957,14.229580493402784
Pax_38,15.005668112169943,0.0,15.005668112169943
Pax_39,15.257454027843739,0.3039804213002739,15.561434449144013
Pax_40,15.564485126680546,0.381601515314113,15.94608664199466
Pax_41,15.70608287457939,0.5773674430165592,16.28345031759595
Pax_42,16.11813027063474,0.20897743288390913,16.32710770351865
Pax_43,16.5573700916939,0.21036449349881892,16.76773458519272
Pax_44,16.68116555001911,0.2832258591156176,16.964391409134727
Pax_45,19.68447626631835,0.0,19.68447626631835
Pax_46,19.708607515121297,0.0,19.708607515121297
Pax_47,20.202294213703585,0.0,20.202294213703585
Pax_48,20.476523317595408,0.0,20.476523317595408
Pax_49,20.71684880256961,0.0,20.71684880256961
Pax_50,21.093418795244844,0.0,21.093418795244844
Pax_51,22.079267657460452,0.0,22.079267657460452
Pax_52,22.717041122796974,0.0,22.717041122796974
Pax_53,23.102023195676228,0.002981826856544245,23.105005022532772
Pax_54,23.614186438433162,0.0,23.614186438433162
Pax_55,23.899443512725416,0.0,23.899443512725416
Pax_56,25.43700365866214,0.0,25.43700365866214
Pax_57,25.58985136391345,0.0,25.58985136391345
Pax_58,25.68825548419224,0.6166482922885912,26.30490377648083
Pax_59,26.710364386466093,0.0,26.710364386466093
Pax_60,27.219733099974373,0.0,27.219733099974373
Pax_61,27.302665518348597,0.11420270001967481,27.416868218368272
Pax_62,27.690255401008034,0.19382340585633884,27.884078806864373
Pax_63,28.06814308179607,0.0,28.06814308179607
Pax_64,28.26403962336965,0.0,28.26403962336965
Pax_65,29.58727228782736,0.0,29.58727228782736
Pax_66,30.478173478891105,0.0,30.478173478891105
Pax_67,30.508008762127144,0.0,30.508008762127144
Pax_68,31.976263741009934,0.0,31.976263741009934
Pax_69,32.309020470930115,0.0,32.309020470930115
Pax_70,33.02383473613791,0.0,33.02383473613791
Pax_71,33.092542177662786,0.0,33.092542177662786
Pax_72,33.49157784393185,0.0,33.49157784393185
Pax_73,34.52113478607051,0.0,34.52113478607051
Pax_74,34.64013535479248,0.0,34.64013535479248
Pax_75,35.294674381242686,0.0,35.294674381242686
Pax_76,35.48145146061949,0.0,35.48145146061949
Pax_77,36.006188349836385,0.0,36.006188349836385
Pax_78,36.37065412686197,0.0,36.37065412686197
Pax_79,36.49790502336417,0.0,36.49790502336417
Pax_80,36.94164578694138,0.0,36.94164578694138
Pax_81,37.06601583501979,0.0,37.06601583501979
Pax_82,37.564634680452905,0.0,37.564634680452905
Pax_83,38.743789370093396,0.0,38.743789370093396
Pax_84,38.780535869908256,0.0,38.780535869908256
Pax_85,39.333320755309245,0.0,39.333320755309245
Pax_86,39.404282206109436,0.0,39.404282206109436
Pax_87,39.82748161398009,0.37671395050313805,40.20419556448323
Pax_88,40.59515596202604,1.3603233387058893,41.95547930073193
Pax_89,40.70076957528817,1.562980400893153,42.26374997618132
Pax_90,40.751747630694844,2.0082117043059995,42.75995933500084
Pax_91,41.03373003089821,2.320387461695944,43.354117492594156
Pax_92,41.30918819514158,2.4530361390735536,43.762224334215134
Pax_93,41.623828263832586,2.870177067138286,44.49400533097087
Pax_94,42.27678645612455,2.9558372286084804,45.23262368473303
Pax_95,42.32858852514961,2.9689261351661074,45.29751466031572
Pax_96,42.5861905243387,4.377559869282976,46.96375039362167
Pax_97,42.793420196008604,4.652262214053977,47.44568241006258
Pax_98,42.93636625630805,6.869894235861707,49.806260492169756
